Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,78,4.399161999999371,6.614213
res_393.har,71,4.340000000000051,6.24377
res_236.har,70,4.176273999999714,6.268058
res_154.har,73,4.799966000000488,6.287266
res_479.har,70,4.221157999999814,6.219497
res_109.har,73,4.625274999999921,6.312444
res_484.har,77,4.931628000000652,6.613386
res_20.har,71,4.353650999999998,6.266281
res_155.har,70,4.559930999999888,6.262684
res_24.har,70,4.057539999999651,6.275928
res_368.har,71,4.3195889999995485,6.25991
res_256.har,71,1.3271030000005049,6.3215
res_167.har,70,4.600400999999831,6.271765
res_327.har,70,4.351971999999601,6.243497
res_400.har,71,5.0173409999993455,6.281932
res_110.har,77,4.449486000000026,6.639428
res_373.har,78,4.353302999999694,6.640866
res_123.har,69,4.637605000000214,6.273768
res_351.har,71,4.21454499999994,6.272667
res_275.har,78,4.440446999999498,6.588875
res_489.har,71,4.278225999999202,6.270936
res_469.har,71,4.379749999999513,6.26616
res_367.har,69,4.218459999999963,6.257106
res_108.har,70,4.478870000000388,6.230293
res_441.har,71,4.670980999999891,6.278254
res_360.har,70,4.402765999999894,6.285216
res_136.har,72,1.1873129999995726,6.33827
res_358.har,69,4.639335000000232,6.27357
res_283.har,70,3.8856690000002416,6.240852
res_346.har,71,4.322210000000145,6.321262
res_254.har,70,4.203896000000292,6.278262
res_101.har,70,4.557738999999681,6.280493
res_497.har,71,4.506230000000112,6.254988
res_67.har,71,4.631375999999851,6.24817
res_345.har,70,4.511478000000003,6.28295
res_2.har,79,3.897382000000343,6.717455
res_344.har,71,4.025732999999876,6.265379
res_398.har,71,4.238167000000219,6.272243
res_26.har,76,1.9544239999995916,6.427651
res_306.har,71,4.2701489999998445,6.27
res_134.har,77,4.091212000000116,6.62981
res_445.har,71,4.704299000000028,6.260596
res_291.har,71,4.642117000000173,6.276786
res_8.har,79,3.750028000000013,6.703684
res_52.har,71,4.618311000000267,6.262641
res_308.har,70,4.338495000000584,6.269567
res_84.har,71,4.370781999999839,6.28747
res_438.har,71,4.051290999999997,6.272903
res_405.har,70,4.733295999999842,6.263034
res_332.har,70,4.478476999999475,6.26008
res_470.har,69,4.266928000000415,6.26304
res_382.har,71,4.076189000000093,6.264888
res_169.har,70,4.589477000000341,6.270873
res_21.har,72,4.219632999999943,6.329824
res_43.har,70,4.4388650000000345,6.26766
res_354.har,70,2.1339600000003482,6.264738
res_81.har,78,4.55869399999981,6.617146
res_118.har,70,4.5473290000000635,6.26063
res_413.har,71,4.832494999999683,6.26964
res_494.har,71,4.1953179999995776,6.252886
res_105.har,67,4.779560000000027,6.574735
res_126.har,77,4.585835000000043,6.651892
res_319.har,70,4.9138569999992905,6.245329
res_459.har,71,4.188909,6.307181
res_455.har,67,4.25145399999954,6.573305
res_6.har,71,3.6319889999999324,6.269606
res_362.har,73,4.417472000000351,6.277244
res_204.har,71,4.5171770000004905,6.282815
res_376.har,78,4.446471999999471,6.614901
res_39.har,71,2.2289930000002203,6.258473
res_318.har,70,4.666955999999671,6.288581
res_13.har,71,4.153666000000223,6.236101
res_255.har,71,4.13335400000013,6.310127
res_404.har,71,0.2729239999998754,6.268066
res_64.har,72,4.601635000000177,6.32405
res_113.har,70,4.764104000000359,6.276433
res_356.har,77,4.581709000000359,6.606814
res_390.har,71,3.8492030000001396,6.244451
res_493.har,71,4.8129749999992475,6.265356
res_353.har,71,4.639115000000653,6.288501
res_314.har,78,4.344592999999702,6.634897
res_359.har,71,4.490733999999699,6.275948
res_418.har,71,4.616240000000013,6.263536
res_437.har,80,4.434671999999802,6.649827
res_196.har,71,4.447830000000649,6.269863
res_286.har,70,4.542547000000275,6.28047
res_208.har,65,4.377123999999931,6.538745
res_389.har,70,4.360793000000704,6.270038
res_44.har,78,4.744686999999871,6.611662
res_76.har,71,4.596727000000075,6.266229
res_37.har,70,4.491615000000223,6.270668
res_310.har,75,4.4802360000004775,6.39513
res_153.har,70,4.583963000000309,6.261906
res_320.har,77,4.091767000000371,6.611526
res_207.har,71,2.794735000000255,6.268101
res_210.har,71,4.6719809999994615,6.271602
res_298.har,71,4.384183000000296,6.263435
res_293.har,78,1.65267400000005,6.627897
res_485.har,71,4.426622000000032,6.26147
res_174.har,70,4.58390600000057,6.280183
res_102.har,69,4.19814999999974,6.238571
res_212.har,71,4.538487999999445,6.262237
res_40.har,71,4.685698999999964,6.266284
res_7.har,71,4.113934000000365,6.280343
res_399.har,67,4.532018999999913,6.562495
res_195.har,65,2.0264319999996587,6.528535
res_341.har,71,4.452319999999643,6.276801
res_324.har,69,4.202348000000617,6.233518
res_253.har,69,5.156837999999371,6.225421
res_120.har,71,5.138373000000189,6.293616
res_464.har,71,4.438551000000371,6.272976
res_202.har,71,4.662296000000176,6.290197
res_468.har,71,4.463066999999604,6.290883
res_370.har,70,4.331026999999987,6.258185
res_165.har,77,4.51972800000057,6.624598
res_205.har,73,4.868206000000166,6.279732
res_122.har,66,5.0628950000001645,6.571463
res_361.har,66,4.367359000000004,6.560945
res_80.har,70,4.38906100000038,6.234337
res_424.har,71,4.583362999999612,6.26919
res_458.har,71,4.431711999999818,6.274996
res_349.har,69,4.87614199999984,6.250245
res_461.har,71,4.535067999999272,6.276578
res_334.har,68,3.890765999999632,6.626551
res_159.har,71,4.428974000000155,6.253956
res_329.har,71,4.280663000000372,6.253535
res_28.har,71,4.071278000000136,6.259489
res_60.har,66,4.2340510000001155,6.538766
res_162.har,75,4.434733000000589,6.264233
res_172.har,70,4.61725899999938,6.282485
res_226.har,71,4.355649999999573,6.274212
res_65.har,70,4.154483999999903,6.272685
res_83.har,71,4.749781000000141,6.262454
res_170.har,78,4.501179999999913,6.64867
res_97.har,70,4.157850000000093,6.273537
res_14.har,71,4.224682000000037,6.262498
res_106.har,71,4.285937000000202,6.264517
res_492.har,70,4.435262000000315,6.267282
res_41.har,77,4.436714000000047,6.616927
res_231.har,71,4.801081999999857,6.2682
res_279.har,71,4.392061999999802,6.285883
res_42.har,73,4.564878999999903,6.302119
res_401.har,71,4.506806000000528,6.269529
res_61.har,71,4.23661699999962,6.263012
res_143.har,70,4.416071999999913,6.275292
res_145.har,70,4.664410000000033,6.264574
res_385.har,71,4.10604200000039,6.260065
res_483.har,78,4.12838700000014,6.613912
res_175.har,71,4.441927000000651,6.265987
res_112.har,71,4.349401999999914,6.305709
res_69.har,77,4.316430999999841,6.631201
res_188.har,70,4.685163000000255,6.291465
res_56.har,69,4.204951999999779,6.238307
res_27.har,71,4.442472999999991,6.283614
res_86.har,78,4.611993000000083,6.625814
res_191.har,71,4.605301000000705,6.28729
res_22.har,69,3.779450999999841,6.777943
res_442.har,71,4.71989799999955,6.28335
res_247.har,70,4.735585000000043,6.272101
res_232.har,70,4.442248000000094,6.272833
res_246.har,70,4.482227999999916,6.287023
res_200.har,71,4.543439000000137,6.273872
res_431.har,71,4.368628999999957,6.266621
res_496.har,71,3.9924499999997716,6.274439
res_179.har,71,5.0816090000003244,6.274874
res_440.har,71,1.9215310000005557,6.278962
res_185.har,71,4.319051000000247,6.280003
res_371.har,67,4.369074000000634,6.540951
res_235.har,71,4.675381000000372,6.268189
res_388.har,70,4.305385999999766,6.241351
res_215.har,70,4.666723000000056,6.235645
res_217.har,66,5.0614680000005245,6.559033
res_186.har,69,4.68390999999953,6.287448
res_132.har,70,4.61027100000027,6.235248
res_340.har,78,4.29428199999973,6.630254
res_350.har,78,4.358119999999624,6.701712
res_321.har,73,4.3043280000003215,6.929809
res_447.har,74,4.585822999999502,6.812382
res_338.har,69,4.325072999999916,6.227227
res_301.har,69,4.139183000000688,6.240072
res_294.har,70,4.397157999999886,6.272801
res_392.har,66,4.310430000000728,6.558083
res_184.har,71,4.6236670000000375,6.27143
res_380.har,72,4.714883000000322,6.298995
res_395.har,67,4.3827720000001955,6.562324
res_491.har,69,4.263499000000112,6.245185
res_316.har,70,4.441954000000828,6.268083
res_397.har,70,4.4004550000003295,6.275242
res_263.har,68,4.648847999999671,6.593269
res_311.har,71,4.5113309999998235,6.285286
res_262.har,77,4.440765,6.625633
res_363.har,71,4.080154000000184,6.272343
res_168.har,71,4.4727090000005045,6.27328
res_194.har,71,4.512837000000647,6.275649
res_198.har,71,4.5969180000001435,6.275616
res_127.har,71,4.330677000000309,6.265543
res_142.har,78,4.496057999999859,6.632038
res_146.har,78,4.352952000000652,6.625758
res_296.har,70,4.438121999999756,6.283321
res_426.har,79,4.682296999999911,6.633244
res_477.har,73,1.590324000000146,6.29299
res_29.har,70,4.439896999999772,6.280062
res_103.har,71,4.692217000000182,6.246118
res_348.har,77,4.339860999999567,6.614244
res_451.har,71,4.682714999999924,6.280666
res_465.har,69,4.26966500000003,6.251713
res_375.har,71,4.506785999999462,6.267751
res_452.har,71,1.592251999999622,6.257043
res_233.har,70,4.494055000000204,6.254001
res_432.har,71,4.606885999999627,6.280312
res_156.har,71,4.7245250000002486,6.277636
res_417.har,71,5.28294600000012,6.257279
res_173.har,71,4.58159899999974,6.282463
res_258.har,70,4.792497000000629,6.279482
res_433.har,66,3.9428650000004053,6.565752
res_199.har,71,4.0729999999999125,6.253336
res_90.har,70,4.633931999999968,6.26805
res_317.har,69,4.1610700000002545,6.294647
res_277.har,67,4.42678899999999,6.553738
res_249.har,70,4.185235999999495,6.259466
res_391.har,70,4.4170630000006135,6.24472
res_252.har,71,4.55130499999952,6.260159
res_282.har,71,4.451867000000085,6.28982
res_180.har,71,4.695894000000153,6.257156
res_312.har,77,4.486326999999983,6.611988
res_292.har,70,3.8856530000005005,6.286541
res_419.har,71,4.546967999999884,6.281271
res_149.har,70,4.344875999999917,6.279114
res_466.har,71,4.148148999999983,6.280608
res_495.har,70,4.4582379999999615,6.267023
res_241.har,70,4.3235939999997575,6.284734
res_91.har,78,4.301445000000084,6.6186
res_48.har,71,4.584345999999823,6.241894
res_474.har,71,4.252831000000122,6.280773
res_315.har,70,4.756644999999975,6.262173
res_402.har,71,4.571426000000516,6.268576
res_176.har,77,4.476785000000011,6.619184
res_295.har,66,4.330697000000852,6.567692
res_457.har,71,3.859558000000361,6.270166
res_289.har,78,4.456158000000025,6.60128
res_337.har,78,4.769615000000478,6.608839
res_482.har,71,4.361005000000048,6.287353
res_158.har,70,4.555539000000215,6.270148
res_1.har,71,3.66553099999996,6.295643
res_203.har,71,4.517182999999684,6.267284
res_476.har,71,4.605220000000576,6.266453
res_364.har,71,4.099025000000387,6.268985
res_164.har,77,4.7847440000003045,6.624725
res_412.har,70,4.256801999999807,6.250764
res_407.har,72,4.564143000000331,6.27713
res_473.har,70,4.342404999999417,6.2435
res_214.har,77,4.4810350000003165,6.630873
res_216.har,71,4.850584000000097,6.274886
res_336.har,71,4.247968999999736,6.277538
res_498.har,71,4.660436999999932,6.279088
res_326.har,78,4.4520569999996,6.638929
res_487.har,77,4.677264999999563,6.618411
res_416.har,78,1.6251769999996977,6.618605
res_111.har,71,4.542304000000091,6.283207
res_38.har,71,4.540322999999989,6.267705
res_257.har,71,4.217250000000335,6.278045
res_157.har,71,4.516931999999223,6.275913
res_5.har,71,4.591738999999984,6.26901
res_150.har,69,4.705969999999608,6.258775
res_77.har,77,4.3130109999999,6.624593
res_325.har,70,4.3465680000000795,6.263764
res_409.har,70,4.047878999999484,6.249845
res_68.har,71,4.306076000000343,6.266665
res_467.har,67,4.237914000000237,6.570696
res_222.har,71,4.306663000000611,6.260103
res_406.har,71,4.409969000000026,6.234089
res_339.har,81,4.312148999999547,6.634332
res_328.har,85,4.605584000000352,6.759912
res_36.har,69,4.5754880000000995,6.262704
res_410.har,70,4.566445999999749,6.263385
res_100.har,75,4.308937000000096,6.927593
res_280.har,71,4.390399000000289,6.284558
res_183.har,70,2.4233550000000834,6.271372
res_475.har,71,4.415646999999968,6.271799
res_450.har,70,4.628493000000366,6.259517
res_182.har,71,4.7144959999997225,6.270227
res_0.har,70,3.8142300000001814,6.266224
res_187.har,71,4.556693999999777,6.284704
res_32.har,71,4.347568999999974,6.258415
res_163.har,78,4.551665000000692,6.625397
res_141.har,70,3.930993999999919,6.281487
res_82.har,72,4.253494999999836,6.340213
res_347.har,71,4.3268360000004975,6.278747
res_87.har,71,4.413528000000282,6.262575
res_383.har,71,4.237715000000477,6.248748
res_223.har,77,4.638406999999961,6.624473
res_240.har,71,4.4144459999995815,6.280755
res_95.har,71,4.337018999999913,6.282838
res_189.har,78,4.5829440000003085,6.653268
res_378.har,69,4.427281999999657,6.277121
res_140.har,78,4.572492000000191,6.634843
res_245.har,70,4.478651000000478,6.257502
res_224.har,70,4.521328999999496,6.279774
res_322.har,71,4.572378000000056,6.270159
res_15.har,71,4.714902999999813,6.288439
res_456.har,70,4.619187999999754,6.27244
res_129.har,78,4.553891000000061,6.62524
res_396.har,71,4.43348900000038,6.258446
res_206.har,71,4.5742499999995125,6.249326
res_307.har,70,4.728380000000521,6.260315
res_94.har,70,4.373247000000039,6.268277
res_423.har,71,4.480106000000436,6.260593
res_78.har,71,4.553657999999857,6.296294
res_352.har,69,4.241093999999873,6.25125
res_229.har,86,4.534090999999702,6.79606
res_313.har,72,4.737060000000361,6.268905
res_411.har,71,4.401189000000275,6.255428
res_220.har,70,4.294743000000053,6.2326
res_297.har,70,4.350174999999864,6.278359
res_333.har,80,4.590840999999971,6.664163
res_107.har,79,4.8831320000001215,6.624894
res_221.har,76,4.237478999999236,6.622449
res_374.har,71,4.536381999999736,6.285515
res_151.har,71,4.790302000000367,6.236419
res_66.har,70,4.605546000000046,6.263203
res_16.har,71,4.28410799999988,6.267081
res_472.har,71,4.576415999999648,6.275192
res_228.har,73,5.052127999999902,6.930349
res_197.har,67,4.483056999999768,6.554813
res_303.har,70,4.239216999999895,6.267221
res_12.har,71,4.56875799999971,6.279651
res_59.har,71,4.3801630000001675,6.281127
res_239.har,70,4.398665000000059,6.215982
res_238.har,78,4.261796999999969,6.631719
res_330.har,78,1.0282900000002555,6.628004
res_34.har,72,4.6680129999998465,6.275259
res_248.har,71,4.648226999999512,6.25101
res_209.har,70,4.643085000000093,6.259537
res_276.har,84,4.782128999999804,6.7963
res_434.har,71,4.630163000000539,6.276358
res_323.har,77,4.517397000000572,6.624889
res_251.har,70,4.801044000000394,6.265322
res_79.har,71,4.137559000000001,6.272
res_486.har,77,4.275725999999827,6.620952
res_30.har,71,4.0006699999997455,6.264998
res_439.har,73,4.558982999999949,6.339922
res_304.har,75,4.552457999999468,6.469589
res_273.har,71,4.409937000000136,6.274292
res_449.har,71,4.9027269999996355,6.255942
res_130.har,71,4.3346879999998205,6.262566
res_11.har,72,4.5376030000002645,6.321422
res_408.har,71,4.521286000000371,6.27194
res_211.har,70,4.417148999999102,6.258624
res_270.har,71,4.387032999999748,6.326503
res_420.har,71,4.418580999999947,6.253978
res_480.har,71,4.676096999999784,6.267973
res_152.har,78,4.563558000000165,6.624995
res_443.har,70,4.5843200000001305,6.246308
res_119.har,70,4.357724000000148,6.278152
res_305.har,71,4.337061999999482,6.263276
res_74.har,77,4.489531000000148,6.638476
res_422.har,70,4.7994799999997415,6.273366
res_70.har,71,4.587535000000018,6.279181
res_259.har,77,4.30174699999937,6.624641
res_355.har,78,4.593131999999983,6.651983
res_414.har,71,4.688471000000667,6.248267
res_181.har,71,4.817667000000307,6.313086
res_281.har,71,4.449274000000427,6.254732
res_429.har,71,4.494620999999955,6.265468
res_372.har,71,4.124839999999836,6.251788
res_343.har,71,4.307149000000223,6.277732
res_272.har,69,4.085675000000782,6.238371
res_133.har,70,4.497361000000048,6.278678
res_98.har,68,4.789556999999783,6.258715
res_144.har,70,4.37498700000011,6.272455
res_18.har,71,4.460017000000018,6.283347
res_31.har,71,4.430989000000067,6.290686
res_138.har,71,4.269603000000279,6.279945
res_177.har,78,4.679719000000659,6.637274
res_96.har,71,4.328177000000127,6.272965
res_160.har,77,1.7740759999999791,6.630187
res_471.har,71,4.267707000000155,6.274883
res_335.har,71,4.56653700000012,6.262851
res_104.har,71,4.275051999999934,6.278189
res_117.har,70,4.726881999999649,6.254617
res_50.har,71,4.789336999999781,6.256411
res_25.har,70,4.467969999999987,6.250829
res_161.har,69,4.53220900000033,6.262749
res_93.har,71,4.3536110000000265,6.272208
res_302.har,71,5.026753000000274,6.247352
res_460.har,71,4.620691000000596,6.281761
res_139.har,70,4.546489000000227,6.263695
res_379.har,71,1.2290300000002317,6.266168
res_243.har,71,4.745067000000519,6.310442
res_193.har,69,4.513595999999481,6.250389
res_62.har,70,4.458106000000146,6.246368
res_57.har,71,4.309969000000347,6.259722
res_309.har,78,4.178134000000479,6.625625
res_284.har,70,4.302981000000313,6.277597
res_427.har,71,4.893304999999928,6.287558
res_369.har,69,4.3362610000000785,6.292187
res_446.har,71,4.471035999999614,6.269774
res_366.har,70,4.380953000000118,6.253557
res_137.har,70,4.268973999999998,6.275935
res_274.har,71,4.257330000000635,6.271567
res_45.har,71,4.632248999999734,6.269085
res_35.har,72,3.9661860000001905,6.266527
res_19.har,70,4.301002999999924,6.244472
res_377.har,71,4.455284000000356,6.28143
res_490.har,71,4.46143,6.334361
res_300.har,67,3.9705059999996704,6.57358
res_287.har,71,4.349562000000034,6.253151
res_244.har,71,4.624882000000682,6.249172
res_63.har,70,1.5501210000003411,6.268447
res_260.har,71,4.608763000000457,6.328906
res_436.har,69,4.626151999999806,6.258376
res_290.har,70,4.381978999999999,6.273113
res_342.har,71,1.3291969999993816,6.270079
res_264.har,69,4.546597999999976,6.26623
res_17.har,71,4.136803999999571,6.266939
res_394.har,70,4.275903000000042,6.255816
res_190.har,73,4.635524000000558,6.279543
res_85.har,71,4.617342999999957,6.270648
res_89.har,78,4.406565000000141,6.626783
res_268.har,71,2.0946250000003492,6.242623
res_49.har,89,4.4330299999997225,6.469304
res_121.har,78,4.114778999999966,6.633315
res_425.har,70,4.476739000000511,6.283944
res_230.har,77,4.294206999999842,6.62718
res_331.har,71,4.59187900000027,6.257496
res_387.har,70,4.576359000000885,6.252692
res_125.har,71,4.312951999999645,6.265231
res_10.har,71,4.3118410000000145,6.265065
res_148.har,78,2.048576999999714,6.611585
res_53.har,69,4.497207999999977,6.241085
res_114.har,78,4.414470000000005,6.635695
res_128.har,71,4.602967000000325,6.273285
res_213.har,71,4.42325200000003,6.275876
res_115.har,71,4.7283010000001555,6.27777
res_131.har,78,4.222404999999998,6.6284
res_227.har,71,4.4232370000000305,6.268845
res_178.har,78,4.660926999999567,6.626233
res_430.har,86,4.994596999999812,6.948493
res_266.har,70,4.36934800000026,6.273962
res_415.har,70,4.382074999999823,6.2595
res_454.har,71,4.249234999999673,6.2909
res_278.har,71,4.236303999999851,6.274421
res_171.har,77,4.741897000000747,6.626164
res_448.har,71,4.521842999999775,6.255615
res_124.har,70,4.5438300000002165,6.271762
res_285.har,77,4.318934000000408,6.650788
res_299.har,70,4.512629000000052,6.269025
res_201.har,70,4.636073999999877,6.272594
res_9.har,71,4.483478999999817,6.238222
res_135.har,78,4.583028999999602,6.594071
res_463.har,71,4.850328000000147,6.264779
res_73.har,70,4.278199000000008,6.279631
res_33.har,71,4.493644000000124,6.276404
res_116.har,71,4.447780999999857,6.263909
res_288.har,71,4.3199109999994105,6.270349
res_234.har,77,4.4558020000004905,6.462519
res_47.har,77,4.489326999999874,6.628025
res_261.har,70,4.453710999999465,6.27038
res_72.har,77,4.3550770000000485,6.615124
res_421.har,70,4.509578999999722,6.260076
res_386.har,71,4.386848999999798,6.268411
res_488.har,71,4.411235999999881,6.263911
res_403.har,71,4.552458999999995,6.258957
res_242.har,78,4.4167870000005856,6.625517
res_92.har,71,5.492168999999711,6.280071
res_481.har,70,4.800343999999211,6.277139
res_51.har,72,1.237343999999888,6.310715
res_219.har,71,4.739076000000663,6.27456
res_271.har,70,4.357717999999804,6.220932
res_435.har,72,4.261326999999335,7.017096
res_46.har,78,4.5829700000002775,6.630321
res_218.har,71,4.420220999999743,6.282209
res_237.har,71,4.25531199999975,6.270801
res_166.har,71,4.7445489999993296,6.282833
res_58.har,78,4.534265000000182,6.627161
res_478.har,70,4.344670000000704,6.270926
res_453.har,70,4.4662039999996415,6.254819
res_428.har,71,1.485220999999663,6.266336
res_88.har,70,4.437748999999891,6.267276
res_357.har,71,4.34159299999971,6.266704
res_444.har,71,4.5528950000003165,6.269169
res_147.har,70,4.483725999999864,6.268743
res_71.har,70,4.380660000000265,6.273284
res_54.har,80,4.7059660000002985,6.647311
res_192.har,72,4.660714999999975,6.357253
res_381.har,71,4.336868000000104,6.261856
res_225.har,70,4.745753000000398,6.288187
res_499.har,71,4.277491000000256,6.27352
res_269.har,70,4.323627999999655,6.298865
res_3.har,71,3.6458650000000032,6.281087
res_99.har,70,4.109939999999609,6.239427
res_75.har,78,4.7696339999997726,6.615838
res_4.har,70,3.8422100000000357,6.274496
res_267.har,77,4.527532999999858,6.635934
res_23.har,71,4.388643999999709,6.285728
res_265.har,70,4.300486999999776,6.239633
res_462.har,71,4.686821999999818,6.269986
res_55.har,71,4.672550999999672,6.276387
res_250.har,70,4.710537000000106,6.261884
res_365.har,72,4.336450999999928,6.901173
Average:,=AVERAGE(B2:B501),=AVERAGE(C2:C501),=AVERAGE(D2:D501)
